fileid	phone_carriage_state	distance_in_meters	step_size_in_sec	coarse_grain
acogyvye_tc4tl20.csv	pocket_pocket	4.5	20	Y
acohnemj_tc4tl20.csv	pocket_hand	4.5	80	Y
actfzaql_tc4tl20.csv	pocket_pocket	1.2	20	N
actkssvo_tc4tl20.csv	hand_hand	1.8	10	Y
acujmusl_tc4tl20.csv	pocket_hand	4.5	10	N
addffiqv_tc4tl20.csv	pocket_pocket	4.5	80	N
adebjdnw_tc4tl20.csv	pocket_pocket	4.5	20	Y
adjaahhk_tc4tl20.csv	hand_hand	4.5	60	Y
adkhothp_tc4tl20.csv	hand_hand	4.5	80	Y
adkpjtrf_tc4tl20.csv	pocket_hand	3.0	30	N
adkukfpz_tc4tl20.csv	hand_hand	4.5	20	Y
admeahuy_tc4tl20.csv	pocket_pocket	1.2	20	N
admtamng_tc4tl20.csv	pocket_pocket	1.2	120	N
adnldcvl_tc4tl20.csv	pocket_pocket	4.5	20	Y
adnnvejs_tc4tl20.csv	hand_hand	4.5	10	Y
adptpnwt_tc4tl20.csv	pocket_pocket	4.5	60	N
adqfoolx_tc4tl20.csv	pocket_pocket	4.5	80	N
adrojrhe_tc4tl20.csv	pocket_pocket	4.5	120	N
adsrxrpb_tc4tl20.csv	pocket_hand	1.2	120	N
adtugflr_tc4tl20.csv	pocket_pocket	4.5	60	Y
advlmpjn_tc4tl20.csv	pocket_pocket	3.0	100	N
advwypza_tc4tl20.csv	pocket_pocket	1.2	80	N
adwpftdq_tc4tl20.csv	pocket_hand	4.5	80	N
adzkgmak_tc4tl20.csv	pocket_pocket	1.8	10	Y
adzvhtwe_tc4tl20.csv	hand_hand	4.5	100	Y
aeaoogxt_tc4tl20.csv	hand_hand	3.0	70	N
aecbvlxg_tc4tl20.csv	pocket_pocket	4.5	150	N
aecjrewg_tc4tl20.csv	pocket_hand	1.2	100	N
aecpjcda_tc4tl20.csv	pocket_pocket	1.8	70	N
aeeivpvf_tc4tl20.csv	pocket_pocket	1.8	70	Y
aegxsipt_tc4tl20.csv	pocket_hand	4.5	20	Y
aejjditl_tc4tl20.csv	pocket_hand	4.5	80	Y
aejpzhsd_tc4tl20.csv	pocket_pocket	4.5	70	N
aenktdwu_tc4tl20.csv	pocket_hand	1.8	30	Y
aeqdqocc_tc4tl20.csv	pocket_hand	1.8	100	Y
aerdwbbx_tc4tl20.csv	pocket_pocket	1.8	50	N
aeruipsx_tc4tl20.csv	pocket_pocket	3.0	20	N
aetewbrh_tc4tl20.csv	pocket_pocket	1.2	10	N
aetyifnx_tc4tl20.csv	hand_hand	1.8	30	Y
aeufznkp_tc4tl20.csv	pocket_pocket	3.0	10	N
aeusiian_tc4tl20.csv	pocket_hand	4.5	50	N
aevdfouu_tc4tl20.csv	pocket_hand	4.5	60	Y
aevuqxuf_tc4tl20.csv	pocket_pocket	1.8	120	Y
aewpewaa_tc4tl20.csv	hand_hand	3.0	120	N
aexzdwsk_tc4tl20.csv	hand_hand	1.8	120	N
aeyoogvr_tc4tl20.csv	hand_hand	3.0	10	N
afaaldah_tc4tl20.csv	pocket_hand	1.2	60	N
afbtbmip_tc4tl20.csv	hand_hand	1.8	20	N
afcqubyo_tc4tl20.csv	pocket_hand	1.2	90	N
afctogso_tc4tl20.csv	pocket_pocket	1.8	20	N
afezzuvu_tc4tl20.csv	hand_hand	4.5	40	N
afhcprdi_tc4tl20.csv	hand_hand	4.5	40	Y
afikswhf_tc4tl20.csv	pocket_hand	1.8	40	N
afjnmcsj_tc4tl20.csv	hand_hand	1.8	90	N
afksdxcn_tc4tl20.csv	pocket_pocket	4.5	120	Y
aflozeqw_tc4tl20.csv	hand_hand	1.2	30	N
afmsdtxh_tc4tl20.csv	hand_hand	3.0	40	N
afneswsl_tc4tl20.csv	pocket_hand	1.8	40	N
afpkqgna_tc4tl20.csv	pocket_pocket	3.0	120	N
afrqueaz_tc4tl20.csv	pocket_hand	3.0	80	N
aftveczq_tc4tl20.csv	pocket_pocket	1.2	150	N
afudzoes_tc4tl20.csv	hand_hand	1.8	80	Y
afwdwglp_tc4tl20.csv	pocket_hand	1.8	100	N
afwryxje_tc4tl20.csv	hand_hand	4.5	70	Y
afyiwipu_tc4tl20.csv	pocket_hand	1.2	120	N
afzfzqil_tc4tl20.csv	pocket_hand	4.5	20	Y
afzmmlis_tc4tl20.csv	pocket_hand	3.0	10	N
afztwsli_tc4tl20.csv	hand_hand	4.5	30	Y
agajgono_tc4tl20.csv	pocket_pocket	1.2	120	N
agaoclpt_tc4tl20.csv	hand_hand	1.2	30	N
agcaynyd_tc4tl20.csv	pocket_pocket	4.5	10	N
agchxuxg_tc4tl20.csv	pocket_hand	1.8	120	Y
agcxqmkt_tc4tl20.csv	pocket_hand	1.2	30	N
agdbpwha_tc4tl20.csv	hand_hand	1.2	50	N
agigdhhg_tc4tl20.csv	pocket_pocket	1.8	100	Y
agiuctfu_tc4tl20.csv	pocket_pocket	4.5	150	Y
agkjduyy_tc4tl20.csv	pocket_hand	4.5	120	Y
agkwyfme_tc4tl20.csv	hand_hand	4.5	40	Y
aglszrga_tc4tl20.csv	pocket_pocket	1.8	30	Y
agnuapqr_tc4tl20.csv	hand_hand	1.8	40	N
agrinepj_tc4tl20.csv	pocket_hand	1.8	120	N
agrneygm_tc4tl20.csv	pocket_hand	1.2	50	N
agtehrbi_tc4tl20.csv	pocket_hand	3.0	70	N
agukxgli_tc4tl20.csv	pocket_hand	4.5	40	Y
agvqtlax_tc4tl20.csv	pocket_pocket	1.8	150	Y
agxdsuoa_tc4tl20.csv	hand_hand	1.2	60	N
agxwjclh_tc4tl20.csv	pocket_pocket	1.2	80	N
agygamji_tc4tl20.csv	pocket_pocket	1.8	70	Y
agyoojpr_tc4tl20.csv	hand_hand	1.8	10	Y
agzmebpj_tc4tl20.csv	hand_hand	1.8	80	Y
ahchfohe_tc4tl20.csv	hand_hand	1.2	70	N
ahdbvkoj_tc4tl20.csv	hand_hand	1.2	50	N
ahdgdtcq_tc4tl20.csv	hand_hand	1.8	100	N
ahdwrage_tc4tl20.csv	hand_hand	1.2	10	N
ahervoti_tc4tl20.csv	hand_hand	1.8	50	N
ahesdnly_tc4tl20.csv	pocket_hand	1.2	120	N
ahevgwyl_tc4tl20.csv	pocket_pocket	4.5	40	N
ahfjdltk_tc4tl20.csv	pocket_hand	4.5	10	N
ahgyxvti_tc4tl20.csv	pocket_pocket	1.2	120	N
ahjzmskt_tc4tl20.csv	hand_hand	1.8	80	Y
ahkvbkag_tc4tl20.csv	pocket_hand	4.5	50	N
ahldzuys_tc4tl20.csv	hand_hand	1.8	30	N
ahljcntf_tc4tl20.csv	hand_hand	4.5	10	Y
ahlqjlgi_tc4tl20.csv	hand_hand	1.8	60	Y
ahmculmh_tc4tl20.csv	hand_hand	1.2	100	N
ahmfzbcb_tc4tl20.csv	pocket_hand	1.8	40	Y
ahnbupvz_tc4tl20.csv	hand_hand	4.5	60	Y
ahpbsfxl_tc4tl20.csv	pocket_pocket	1.8	120	N
ahpurunx_tc4tl20.csv	hand_hand	1.8	40	Y
ahpvtsni_tc4tl20.csv	pocket_hand	1.8	10	N
ahscndlf_tc4tl20.csv	pocket_hand	1.8	120	Y
ahsrcypy_tc4tl20.csv	pocket_pocket	1.2	120	N
ahtetcbn_tc4tl20.csv	hand_hand	4.5	120	Y
ahvoivwl_tc4tl20.csv	hand_hand	3.0	70	N
aiagvzwq_tc4tl20.csv	pocket_pocket	4.5	70	Y
aiapegmg_tc4tl20.csv	pocket_hand	1.8	90	Y
aiawijnn_tc4tl20.csv	pocket_hand	1.8	20	N
aicfjjwr_tc4tl20.csv	pocket_hand	1.8	10	Y
aidrygwt_tc4tl20.csv	hand_hand	4.5	20	Y
aiguoioh_tc4tl20.csv	hand_hand	1.8	150	Y
aigxkntb_tc4tl20.csv	pocket_pocket	4.5	120	N
aiifxnip_tc4tl20.csv	pocket_hand	1.8	120	Y
aijecuoa_tc4tl20.csv	hand_hand	4.5	20	N
aijjxhbg_tc4tl20.csv	pocket_pocket	4.5	80	Y
aijyxppq_tc4tl20.csv	hand_hand	4.5	80	Y
aikrwwno_tc4tl20.csv	pocket_pocket	1.2	150	N
aiktwsvm_tc4tl20.csv	pocket_hand	4.5	40	Y
ailykagg_tc4tl20.csv	hand_hand	1.2	10	N
aimhxnnq_tc4tl20.csv	hand_hand	1.8	150	Y
aimnocsn_tc4tl20.csv	pocket_hand	3.0	40	N
aipeblrr_tc4tl20.csv	pocket_hand	4.5	150	N
airpkshn_tc4tl20.csv	hand_hand	1.2	80	N
aisinmhq_tc4tl20.csv	pocket_hand	4.5	80	Y
aiuqvfvl_tc4tl20.csv	pocket_pocket	4.5	70	Y
aivsjtvi_tc4tl20.csv	pocket_pocket	1.8	50	N
aixizbrc_tc4tl20.csv	pocket_pocket	4.5	40	Y
aixomrgw_tc4tl20.csv	hand_hand	4.5	30	Y
ajargxfn_tc4tl20.csv	hand_hand	4.5	90	N
ajbfnpme_tc4tl20.csv	hand_hand	4.5	60	N
ajcrlmfe_tc4tl20.csv	hand_hand	1.8	120	N
ajcxnzge_tc4tl20.csv	pocket_pocket	1.2	20	N
ajefnhlb_tc4tl20.csv	pocket_pocket	1.8	20	N
ajehfpvx_tc4tl20.csv	pocket_hand	4.5	120	N
ajffipga_tc4tl20.csv	pocket_hand	3.0	150	N
ajjeqjhr_tc4tl20.csv	pocket_hand	3.0	60	N
ajkikspm_tc4tl20.csv	pocket_pocket	4.5	150	Y
ajmkffmx_tc4tl20.csv	pocket_pocket	3.0	80	N
ajpqplkd_tc4tl20.csv	pocket_hand	1.8	90	Y
ajpwfsft_tc4tl20.csv	pocket_hand	1.8	50	Y
ajqyvsqg_tc4tl20.csv	pocket_pocket	4.5	120	N
ajrpllby_tc4tl20.csv	pocket_hand	4.5	30	N
ajryfzuh_tc4tl20.csv	hand_hand	1.8	120	N
ajsjtpvq_tc4tl20.csv	pocket_pocket	4.5	60	N
ajtvgima_tc4tl20.csv	pocket_hand	1.2	10	N
ajwkzpwb_tc4tl20.csv	hand_hand	4.5	60	N
ajwnkdwn_tc4tl20.csv	pocket_pocket	1.2	60	N
akbdfxxs_tc4tl20.csv	pocket_hand	1.2	60	N
akbkzwdf_tc4tl20.csv	hand_hand	1.2	20	N
akcqldaw_tc4tl20.csv	pocket_pocket	3.0	100	N
akegkufn_tc4tl20.csv	pocket_hand	3.0	70	N
akfatqav_tc4tl20.csv	pocket_pocket	1.8	40	Y
akgpirxo_tc4tl20.csv	pocket_hand	1.8	40	N
akgucrng_tc4tl20.csv	pocket_pocket	3.0	150	N
akhtltsb_tc4tl20.csv	hand_hand	4.5	60	Y
akjawmgo_tc4tl20.csv	pocket_hand	1.8	100	Y
akkstidr_tc4tl20.csv	hand_hand	3.0	60	N
akleehyw_tc4tl20.csv	pocket_hand	3.0	20	N
aklemytg_tc4tl20.csv	hand_hand	4.5	50	N
aklyvnuu_tc4tl20.csv	pocket_pocket	1.2	90	N
akoyfeou_tc4tl20.csv	pocket_pocket	1.8	100	Y
akquwfij_tc4tl20.csv	pocket_hand	3.0	70	N
aksewndo_tc4tl20.csv	hand_hand	4.5	90	Y
aktnyqmf_tc4tl20.csv	hand_hand	1.8	90	Y
akukmyvd_tc4tl20.csv	hand_hand	4.5	100	Y
akygxbqv_tc4tl20.csv	pocket_pocket	1.8	60	Y
akyhugks_tc4tl20.csv	pocket_pocket	3.0	60	N
akyqggnz_tc4tl20.csv	hand_hand	3.0	120	N
akyvvxvo_tc4tl20.csv	pocket_pocket	4.5	10	Y
albpqyyo_tc4tl20.csv	pocket_hand	1.8	70	Y
albrzade_tc4tl20.csv	pocket_pocket	4.5	80	Y
alcfwipe_tc4tl20.csv	pocket_hand	3.0	80	N
alcgggre_tc4tl20.csv	pocket_hand	4.5	100	Y
alcmwzwp_tc4tl20.csv	pocket_hand	1.8	50	Y
alfnapgi_tc4tl20.csv	hand_hand	4.5	90	Y
algctjha_tc4tl20.csv	pocket_hand	3.0	120	N
algvdmdd_tc4tl20.csv	pocket_hand	1.2	50	N
aliuyqvq_tc4tl20.csv	pocket_pocket	1.2	30	N
aljebxay_tc4tl20.csv	pocket_hand	4.5	50	Y
alnoinmr_tc4tl20.csv	pocket_hand	1.8	10	Y
alnrrjor_tc4tl20.csv	pocket_hand	4.5	60	Y
alpjkfzf_tc4tl20.csv	pocket_hand	1.8	20	N
alqrfsoy_tc4tl20.csv	pocket_hand	1.2	90	N
alqvxxri_tc4tl20.csv	pocket_hand	1.8	30	N
alrfxuqm_tc4tl20.csv	pocket_pocket	4.5	70	Y
alslbhws_tc4tl20.csv	pocket_hand	4.5	100	Y
altwideb_tc4tl20.csv	pocket_pocket	1.8	60	N
aluwwgwa_tc4tl20.csv	pocket_pocket	1.8	30	Y
alxsefsw_tc4tl20.csv	hand_hand	4.5	10	Y
alxuedjs_tc4tl20.csv	pocket_hand	4.5	100	Y
alxvtsxq_tc4tl20.csv	hand_hand	1.2	150	N
alxzdkfi_tc4tl20.csv	hand_hand	4.5	30	Y
amdstglp_tc4tl20.csv	pocket_hand	3.0	60	N
ameuqwec_tc4tl20.csv	pocket_hand	4.5	150	N
amicytnw_tc4tl20.csv	pocket_hand	4.5	40	N
amirhppk_tc4tl20.csv	pocket_pocket	1.8	100	N
amiswryy_tc4tl20.csv	pocket_hand	3.0	40	N
amiwbskg_tc4tl20.csv	hand_hand	4.5	20	Y
amkqsjaw_tc4tl20.csv	pocket_pocket	4.5	50	Y
amltozeu_tc4tl20.csv	pocket_hand	3.0	10	N
ammbqqcb_tc4tl20.csv	pocket_pocket	4.5	10	Y
amnctybk_tc4tl20.csv	pocket_hand	3.0	80	N
amnsnyeg_tc4tl20.csv	pocket_hand	1.8	20	Y
amsievmr_tc4tl20.csv	hand_hand	4.5	20	N
amskxgrq_tc4tl20.csv	hand_hand	1.8	150	N
amsorjtl_tc4tl20.csv	hand_hand	4.5	10	N
amtiunzd_tc4tl20.csv	pocket_pocket	4.5	30	Y
amtuuigx_tc4tl20.csv	pocket_pocket	4.5	30	Y
amuqylto_tc4tl20.csv	pocket_hand	4.5	50	N
amvltgtm_tc4tl20.csv	hand_hand	3.0	70	N
amvxjdmc_tc4tl20.csv	hand_hand	4.5	90	N
amwrwxra_tc4tl20.csv	pocket_pocket	1.8	70	Y
anaxfppo_tc4tl20.csv	pocket_hand	3.0	80	N
anccmhnv_tc4tl20.csv	pocket_hand	1.2	120	N
anfqjylv_tc4tl20.csv	pocket_pocket	4.5	30	N
angotlwh_tc4tl20.csv	pocket_hand	1.8	20	Y
anjactai_tc4tl20.csv	pocket_hand	4.5	30	N
anjsilxm_tc4tl20.csv	pocket_hand	4.5	40	Y
anjugwcx_tc4tl20.csv	hand_hand	4.5	30	N
ankkhkhz_tc4tl20.csv	pocket_hand	1.8	90	Y
anmmlmak_tc4tl20.csv	pocket_pocket	1.8	120	Y
annmpjgj_tc4tl20.csv	pocket_hand	1.8	90	N
annqrfvx_tc4tl20.csv	hand_hand	4.5	40	N
anpayqli_tc4tl20.csv	pocket_pocket	1.8	100	Y
anpnhyjz_tc4tl20.csv	pocket_pocket	1.8	10	N
anqcizyb_tc4tl20.csv	pocket_pocket	1.8	30	N
anqowuaq_tc4tl20.csv	pocket_hand	3.0	60	N
ansmydkt_tc4tl20.csv	pocket_pocket	1.2	10	N
antdiekj_tc4tl20.csv	pocket_pocket	1.2	60	N
antivbok_tc4tl20.csv	pocket_pocket	1.8	50	Y
anurooyx_tc4tl20.csv	pocket_pocket	4.5	10	Y
anviautp_tc4tl20.csv	hand_hand	4.5	80	Y
anvinhbw_tc4tl20.csv	pocket_pocket	3.0	50	N
anwgafyu_tc4tl20.csv	pocket_pocket	3.0	70	N
anxgvxrl_tc4tl20.csv	hand_hand	1.8	90	N
anygangr_tc4tl20.csv	hand_hand	4.5	50	Y
anyhwnag_tc4tl20.csv	pocket_hand	1.2	120	N
anyiiyrh_tc4tl20.csv	hand_hand	1.2	10	N
aoawtthh_tc4tl20.csv	hand_hand	4.5	60	N
aofaeofg_tc4tl20.csv	pocket_hand	4.5	20	N
aoiunkyc_tc4tl20.csv	pocket_pocket	4.5	60	Y
aojiyryy_tc4tl20.csv	hand_hand	4.5	80	Y
aoklhmot_tc4tl20.csv	hand_hand	3.0	90	N
aomndyey_tc4tl20.csv	pocket_hand	4.5	10	Y
aonkkhco_tc4tl20.csv	pocket_pocket	3.0	40	N
aooroaee_tc4tl20.csv	pocket_pocket	1.2	60	N
aopbtoiw_tc4tl20.csv	hand_hand	4.5	80	Y
aopmpuki_tc4tl20.csv	pocket_hand	4.5	90	N
aoppzmku_tc4tl20.csv	pocket_hand	3.0	30	N
aopuintb_tc4tl20.csv	pocket_pocket	1.8	90	Y
aorrsnlq_tc4tl20.csv	hand_hand	1.8	50	N
aotikenk_tc4tl20.csv	pocket_pocket	4.5	100	Y
aotmersu_tc4tl20.csv	hand_hand	1.8	70	N
aouqbqli_tc4tl20.csv	pocket_hand	1.8	60	Y
aowzyjjg_tc4tl20.csv	hand_hand	1.8	50	N
aoxudlnh_tc4tl20.csv	hand_hand	1.8	120	N
apapqsqc_tc4tl20.csv	pocket_pocket	1.8	20	N
apbbvwah_tc4tl20.csv	pocket_hand	1.8	100	N
apcpqlgk_tc4tl20.csv	hand_hand	1.8	60	Y
apgbbijz_tc4tl20.csv	pocket_hand	4.5	150	Y
apgmdtiv_tc4tl20.csv	pocket_pocket	1.2	60	N
apguackp_tc4tl20.csv	pocket_pocket	1.8	120	N
apixmbbz_tc4tl20.csv	pocket_pocket	1.2	90	N
apjvqkto_tc4tl20.csv	hand_hand	1.8	60	Y
apmenmhh_tc4tl20.csv	pocket_hand	4.5	20	Y
apntsanz_tc4tl20.csv	pocket_hand	3.0	80	N
apnvjrhg_tc4tl20.csv	pocket_pocket	4.5	80	Y
apobugxo_tc4tl20.csv	pocket_pocket	4.5	150	N
apqzkcbg_tc4tl20.csv	pocket_hand	4.5	50	Y
aptasymb_tc4tl20.csv	hand_hand	1.2	80	N
aptlzwwd_tc4tl20.csv	pocket_pocket	1.8	20	N
apualcrz_tc4tl20.csv	pocket_pocket	1.8	70	Y
aqalpnzb_tc4tl20.csv	pocket_pocket	4.5	20	N
aqasqdgr_tc4tl20.csv	pocket_hand	4.5	40	N
aqbvokte_tc4tl20.csv	hand_hand	1.2	70	N
aqeeazva_tc4tl20.csv	pocket_hand	4.5	80	Y
aqfmysga_tc4tl20.csv	pocket_pocket	4.5	40	N
aqgvjqkp_tc4tl20.csv	hand_hand	1.2	120	N
aqjfmdyh_tc4tl20.csv	hand_hand	1.2	120	N
aqjlqerp_tc4tl20.csv	pocket_hand	1.8	120	Y
aqjmkwlq_tc4tl20.csv	pocket_hand	4.5	20	Y
aqmgbfmk_tc4tl20.csv	pocket_pocket	1.8	120	N
aqnrcphh_tc4tl20.csv	hand_hand	1.8	60	N
aqrdaklg_tc4tl20.csv	pocket_pocket	1.8	30	N
aquahevr_tc4tl20.csv	hand_hand	4.5	60	N
aquubowg_tc4tl20.csv	pocket_pocket	3.0	70	N
aqvrksyz_tc4tl20.csv	hand_hand	4.5	30	N
aqwcinxe_tc4tl20.csv	pocket_pocket	1.8	90	Y
aqwxlgeo_tc4tl20.csv	hand_hand	1.8	50	Y
aqxpvjqw_tc4tl20.csv	pocket_hand	4.5	150	N
aqxzdwdz_tc4tl20.csv	pocket_pocket	1.8	120	N
arcyjcfs_tc4tl20.csv	pocket_pocket	1.8	90	Y
arlkholp_tc4tl20.csv	pocket_pocket	1.8	50	N
arlosqlm_tc4tl20.csv	pocket_pocket	1.8	100	N
arnvlmoy_tc4tl20.csv	hand_hand	3.0	80	N
arolkayb_tc4tl20.csv	pocket_pocket	3.0	90	N
arpclndd_tc4tl20.csv	hand_hand	3.0	10	N
arqutxpz_tc4tl20.csv	pocket_hand	4.5	30	N
arrhohso_tc4tl20.csv	pocket_pocket	1.8	80	N
arsilody_tc4tl20.csv	pocket_hand	1.2	30	N
arsnxzhw_tc4tl20.csv	pocket_hand	1.8	10	Y
artckdbi_tc4tl20.csv	pocket_hand	4.5	10	N
artgvqjt_tc4tl20.csv	pocket_pocket	4.5	60	Y
arwkcavh_tc4tl20.csv	pocket_pocket	1.8	40	N
arwmrwec_tc4tl20.csv	pocket_hand	3.0	50	N
arwybajg_tc4tl20.csv	pocket_hand	1.8	60	Y
arxdrrrb_tc4tl20.csv	hand_hand	4.5	100	Y
arzaepxn_tc4tl20.csv	hand_hand	1.8	120	N
asaldsag_tc4tl20.csv	hand_hand	4.5	30	N
ascemtke_tc4tl20.csv	hand_hand	1.8	60	N
ashltcwz_tc4tl20.csv	pocket_hand	4.5	150	N
asiaqjxe_tc4tl20.csv	pocket_hand	3.0	50	N
asjbyfic_tc4tl20.csv	pocket_pocket	1.8	70	Y
asjiiomg_tc4tl20.csv	hand_hand	3.0	30	N
asnfglbk_tc4tl20.csv	pocket_hand	1.8	80	Y
asnggibc_tc4tl20.csv	pocket_hand	3.0	100	N
asnqkfub_tc4tl20.csv	pocket_hand	4.5	100	N
asopnhyt_tc4tl20.csv	hand_hand	1.8	80	Y
aspfpmbe_tc4tl20.csv	pocket_hand	1.8	100	Y
aspidtkb_tc4tl20.csv	hand_hand	1.2	40	N
asqqmreh_tc4tl20.csv	pocket_hand	4.5	60	N
assbtgfx_tc4tl20.csv	pocket_pocket	3.0	100	N
astjmcjj_tc4tl20.csv	pocket_pocket	4.5	100	Y
asuovhcg_tc4tl20.csv	hand_hand	4.5	50	Y
asyanstr_tc4tl20.csv	hand_hand	1.8	50	N
asycfvds_tc4tl20.csv	pocket_hand	4.5	150	N
asyymeek_tc4tl20.csv	pocket_pocket	1.8	30	N
aszdcjzg_tc4tl20.csv	hand_hand	4.5	80	N
aszgntou_tc4tl20.csv	hand_hand	1.8	60	Y
atabnciw_tc4tl20.csv	pocket_hand	1.2	60	N
atarfcra_tc4tl20.csv	pocket_pocket	4.5	50	N
atcateny_tc4tl20.csv	hand_hand	4.5	30	N
atcgvnhu_tc4tl20.csv	pocket_pocket	4.5	90	Y
atcxxbsh_tc4tl20.csv	pocket_pocket	1.2	60	N
atddipot_tc4tl20.csv	pocket_hand	1.2	10	N
atdeklpu_tc4tl20.csv	pocket_hand	4.5	40	Y
ateabvux_tc4tl20.csv	pocket_hand	4.5	80	Y
ategxhnj_tc4tl20.csv	pocket_pocket	3.0	120	N
atesbmii_tc4tl20.csv	pocket_pocket	4.5	120	N
atfmyeks_tc4tl20.csv	pocket_pocket	4.5	40	Y
atgvcwhq_tc4tl20.csv	hand_hand	1.8	80	N
athtkfax_tc4tl20.csv	pocket_pocket	3.0	150	N
athtsqtv_tc4tl20.csv	pocket_hand	4.5	30	Y
atkynntk_tc4tl20.csv	pocket_pocket	4.5	50	Y
atlhygrt_tc4tl20.csv	pocket_pocket	1.8	100	N
atlqddab_tc4tl20.csv	pocket_hand	4.5	60	Y
atmqewvt_tc4tl20.csv	pocket_pocket	4.5	80	Y
atquapkd_tc4tl20.csv	hand_hand	1.8	50	Y
atrlzzmu_tc4tl20.csv	hand_hand	1.8	20	N
atscdgyo_tc4tl20.csv	pocket_hand	1.8	20	N
atsuwlfo_tc4tl20.csv	hand_hand	3.0	50	N
atvwmjhl_tc4tl20.csv	pocket_pocket	4.5	60	Y
atwerkdi_tc4tl20.csv	hand_hand	3.0	80	N
atxoozql_tc4tl20.csv	pocket_hand	1.2	50	N
